frame,student_id,emotion,emotion_duration
19,25,fear,0.24000000000000002
20,1,not frontal,0.32
20,2,not frontal,0.64
20,3,not frontal,0.5199999999999999
20,4,fear,0.24000000000000002
20,5,not frontal,0.43999999999999995
20,6,sad,0.36
20,7,fear,0.39999999999999997
20,8,sad,0.39999999999999997
20,9,not frontal,0.2
20,10,not frontal,0.39999999999999997
20,11,sad,0.28
20,12,neutral,0.36
20,13,angry,0.36
20,14,sad,0.12
20,15,neutral,0.2
20,16,fear,0.2
20,17,fear,0.36
20,18,not frontal,0.36
20,19,fear,0.2
20,20,neutral,0.16
20,21,sad,0.32
20,22,neutral,0.32
20,23,sad,0.32
20,24,neutral,0.32
20,25,fear,0.28
21,1,not frontal,0.36
21,2,not frontal,0.68
21,3,not frontal,0.5599999999999999
21,4,not frontal,0.28
21,5,not frontal,0.4799999999999999
21,6,sad,0.39999999999999997
21,7,fear,0.43999999999999995
21,8,sad,0.43999999999999995
21,9,not frontal,0.24000000000000002
21,10,not frontal,0.43999999999999995
21,11,sad,0.32
21,12,neutral,0.39999999999999997
21,13,angry,0.39999999999999997
21,14,sad,0.16
21,15,neutral,0.24000000000000002
21,16,sad,0.16
21,17,fear,0.39999999999999997
21,18,not frontal,0.39999999999999997
21,19,not frontal,0.08
21,20,not frontal,0.2
21,21,sad,0.36
21,22,neutral,0.36
21,23,sad,0.36
21,24,neutral,0.36
21,25,fear,0.32
22,1,not frontal,0.39999999999999997
22,2,not frontal,0.7200000000000001
22,3,not frontal,0.6
22,4,surprise,0.04
22,5,not frontal,0.5199999999999999
22,6,sad,0.43999999999999995
22,7,fear,0.4799999999999999
22,8,sad,0.4799999999999999
22,9,not frontal,0.28
22,10,not frontal,0.4799999999999999
22,11,sad,0.36
22,12,neutral,0.43999999999999995
22,13,angry,0.43999999999999995
22,14,happy,0.12
22,15,neutral,0.28
22,16,sad,0.2
22,17,fear,0.43999999999999995
22,18,not frontal,0.43999999999999995
22,19,fear,0.24000000000000002
22,20,not frontal,0.24000000000000002
22,21,sad,0.39999999999999997
22,22,neutral,0.39999999999999997
22,23,sad,0.39999999999999997
22,24,neutral,0.39999999999999997
22,25,fear,0.36
23,1,not frontal,0.43999999999999995
23,2,not frontal,0.7600000000000001
23,3,not frontal,0.64
23,4,surprise,0.08
23,5,not frontal,0.5599999999999999
23,6,sad,0.4799999999999999
23,7,fear,0.5199999999999999
23,8,sad,0.5199999999999999
23,9,not frontal,0.32
23,10,not frontal,0.5199999999999999
23,11,happy,0.04
23,12,neutral,0.4799999999999999
23,13,angry,0.4799999999999999
23,14,not frontal,0.2
23,15,neutral,0.32
23,16,neutral,0.08
23,17,fear,0.4799999999999999
23,18,not frontal,0.4799999999999999
23,19,fear,0.28
23,20,neutral,0.2
23,21,sad,0.43999999999999995
23,22,neutral,0.43999999999999995
23,23,sad,0.43999999999999995
23,24,neutral,0.43999999999999995
23,25,sad,0.04
24,1,not frontal,0.4799999999999999
24,2,not frontal,0.8000000000000002
24,3,not frontal,0.68
24,4,not frontal,0.32
24,5,not frontal,0.6
24,6,sad,0.5199999999999999
24,7,fear,0.5599999999999999
24,8,sad,0.5599999999999999
24,9,not frontal,0.36
24,10,not frontal,0.5599999999999999
24,11,sad,0.39999999999999997
24,12,neutral,0.5199999999999999
24,13,angry,0.5199999999999999
24,14,not frontal,0.24000000000000002
24,15,neutral,0.36
24,16,sad,0.24000000000000002
24,17,fear,0.5199999999999999
24,18,not frontal,0.5199999999999999
24,19,fear,0.32
24,20,not frontal,0.28
24,21,sad,0.4799999999999999
24,22,neutral,0.4799999999999999
24,23,sad,0.4799999999999999
24,24,neutral,0.4799999999999999
24,25,neutral,0.04
25,1,not frontal,0.5199999999999999
25,2,not frontal,0.8400000000000002
25,3,not frontal,0.7200000000000001
25,4,not frontal,0.36
25,5,not frontal,0.64
25,6,sad,0.5599999999999999
25,7,fear,0.6
25,8,sad,0.6
25,9,neutral,0.24000000000000002
25,10,not frontal,0.6
25,11,sad,0.43999999999999995
25,12,neutral,0.5599999999999999
25,13,not frontal,0.04
25,14,happy,0.16
25,15,neutral,0.39999999999999997
25,16,neutral,0.12
25,17,neutral,0.04
25,18,not frontal,0.5599999999999999
25,19,sad,0.16
25,20,not frontal,0.32
25,21,sad,0.5199999999999999
25,22,neutral,0.5199999999999999
25,23,sad,0.5199999999999999
25,24,neutral,0.5199999999999999
25,25,neutral,0.08
26,1,angry,0.04
26,2,not frontal,0.8800000000000002
26,3,not frontal,0.7600000000000001
26,4,not frontal,0.39999999999999997
26,5,not frontal,0.68
26,6,sad,0.6
26,7,fear,0.64
26,8,sad,0.64
26,9,neutral,0.28
26,10,not frontal,0.64
26,11,surprise,0.04
26,12,neutral,0.6
26,13,not frontal,0.08
26,14,sad,0.2
26,15,neutral,0.43999999999999995
26,16,sad,0.28
26,17,sad,0.04
26,18,not frontal,0.6
26,19,sad,0.2
26,20,not frontal,0.36
26,21,sad,0.5599999999999999
26,22,neutral,0.5599999999999999
26,23,sad,0.5599999999999999
26,24,neutral,0.5599999999999999
26,25,neutral,0.12
27,1,not frontal,0.5599999999999999
27,2,not frontal,0.9200000000000003
27,3,not frontal,0.8000000000000002
27,4,fear,0.28
27,5,not frontal,0.7200000000000001
27,6,sad,0.64
27,7,fear,0.68
27,8,sad,0.68
27,9,neutral,0.32
27,10,not frontal,0.68
27,11,neutral,0.16
27,12,neutral,0.64
27,13,angry,0.5599999999999999
27,14,sad,0.24000000000000002
27,15,neutral,0.4799999999999999
27,16,neutral,0.16
27,17,fear,0.5599999999999999
27,18,not frontal,0.64
27,19,fear,0.36
27,20,not frontal,0.39999999999999997
27,21,sad,0.6
27,22,neutral,0.6
27,23,sad,0.6
27,24,neutral,0.6
27,25,neutral,0.16
28,1,not frontal,0.6
28,2,not frontal,0.9600000000000003
28,3,not frontal,0.8400000000000002
28,4,not frontal,0.43999999999999995
28,5,not frontal,0.7600000000000001
28,6,sad,0.68
28,7,fear,0.7200000000000001
28,8,sad,0.7200000000000001
28,9,neutral,0.36
28,10,not frontal,0.7200000000000001
28,11,neutral,0.2
28,12,neutral,0.68
28,13,angry,0.6
28,14,not frontal,0.28
28,15,neutral,0.5199999999999999
28,16,neutral,0.2
28,17,neutral,0.08
28,18,not frontal,0.68
28,19,sad,0.24000000000000002
28,20,not frontal,0.43999999999999995
28,21,sad,0.64
28,22,neutral,0.64
28,23,not frontal,0.04
28,24,neutral,0.64
28,25,neutral,0.2
29,1,not frontal,0.64
29,2,not frontal,1.0000000000000002
29,3,not frontal,0.8800000000000002
29,4,not frontal,0.4799999999999999
29,5,not frontal,0.8000000000000002
29,6,sad,0.7200000000000001
29,7,fear,0.7600000000000001
29,8,sad,0.7600000000000001
29,9,neutral,0.39999999999999997
29,10,not frontal,0.7600000000000001
29,11,happy,0.08
29,12,neutral,0.7200000000000001
29,13,angry,0.64
29,14,sad,0.28
29,15,neutral,0.5599999999999999
29,16,neutral,0.24000000000000002
29,17,neutral,0.12
29,18,not frontal,0.7200000000000001
29,19,fear,0.39999999999999997
29,20,not frontal,0.4799999999999999
29,21,sad,0.68
29,22,neutral,0.68
29,23,sad,0.64
29,24,neutral,0.68
29,25,neutral,0.24000000000000002
30,1,not frontal,0.68
30,2,not frontal,1.0400000000000003
30,3,not frontal,0.9200000000000003
30,4,not frontal,0.5199999999999999
30,5,not frontal,0.8400000000000002
30,6,sad,0.7600000000000001
30,7,fear,0.8000000000000002
30,8,sad,0.8000000000000002
30,9,not frontal,0.39999999999999997
30,10,not frontal,0.8000000000000002
30,11,neutral,0.24000000000000002
30,12,neutral,0.7600000000000001
30,13,angry,0.68
30,14,not frontal,0.32
30,15,neutral,0.6
30,16,sad,0.32
30,17,neutral,0.16
30,18,not frontal,0.7600000000000001
30,19,fear,0.43999999999999995
30,20,not frontal,0.5199999999999999
30,21,sad,0.7200000000000001
30,22,neutral,0.7200000000000001
30,23,sad,0.68
30,24,neutral,0.7200000000000001
30,25,neutral,0.28
31,1,not frontal,0.7200000000000001
31,2,not frontal,1.0800000000000003
31,3,not frontal,0.9600000000000003
31,4,not frontal,0.5599999999999999
31,5,not frontal,0.8800000000000002
31,6,sad,0.8000000000000002
31,7,fear,0.8400000000000002
31,8,sad,0.8400000000000002
31,9,neutral,0.43999999999999995
31,10,not frontal,0.8400000000000002
31,11,neutral,0.28
31,12,neutral,0.8000000000000002
31,13,angry,0.7200000000000001
31,14,sad,0.32
31,15,neutral,0.64
31,16,neutral,0.28
31,17,fear,0.6
31,18,not frontal,0.8000000000000002
31,19,fear,0.4799999999999999
31,20,neutral,0.24000000000000002
31,21,sad,0.7600000000000001
31,22,neutral,0.7600000000000001
31,23,not frontal,0.08
